Timestamp,Source IP,Source Port,Dest IP,Dest Port,Protocol,Flags,Size,Event,Severity
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,PA,133,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,PA,1623,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,PA,2852,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,PA,2852,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,PA,636,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,A,64,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [A],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,A,52,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [A],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,A,52,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [A],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,PA,94,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [PA],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,A,52,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [A],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,PA,216,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [PA],INFO
2025-12-11 10:38:12,34.230.206.30,443,192.168.18.111,36428,TCP,PA,90,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [PA],INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,A,52,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [A] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,A,52,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [A] HTTPS,INFO
2025-12-11 10:38:12,192.168.18.111,36428,34.230.206.30,443,TCP,A,52,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [A] HTTPS,INFO
2025-12-11 10:38:15,172.64.148.235,443,192.168.18.111,59946,TCP,PA,76,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [PA],INFO
2025-12-11 10:38:15,192.168.18.111,59946,172.64.148.235,443,TCP,A,52,TCP connection from 192.168.18.111:59946 to 172.64.148.235:443 [A] HTTPS,INFO
2025-12-11 10:38:15,192.168.18.111,59946,172.64.148.235,443,TCP,PA,80,TCP connection from 192.168.18.111:59946 to 172.64.148.235:443 [PA] HTTPS,INFO
2025-12-11 10:38:15,172.64.148.235,443,192.168.18.111,59946,TCP,A,52,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [A],INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,414,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,423,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,486,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,482,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,462,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,494,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:38:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,476,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
